% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 11:51:09 2021
% raw surface, 46 visible points, bounding box reference
% x y z dx dy dz
 -134.2426  918.0145 -1085.3293    0.9823   -0.1795    0.0540
 -150.8365  926.8956 -1096.3070    0.9794   -0.2015    0.0108
 -161.5027  941.5007 -1096.6053    0.9814   -0.1919   -0.0088
 -152.5154  953.6687 -1086.9849    0.9854   -0.1701    0.0119
 -140.7900  959.1544 -1073.8256    0.9941   -0.0744   -0.0787
 -141.5192  925.0323 -1163.8624    0.9946   -0.0367   -0.0972
 -154.6980  932.6801 -1160.4614    0.9910   -0.0517   -0.1232
 -179.3892  951.0460 -1154.7810    0.9914   -0.0669   -0.1126
 -169.9128  971.5841 -1156.6052    0.9896   -0.0497   -0.1350
 -165.9559  991.2744 -1158.6362    0.9888   -0.0206   -0.1480
 -174.9135  925.9899 -1237.4122    0.9505   -0.0904   -0.2971
 -194.1011  935.2341 -1233.1152    0.9544   -0.1086   -0.2781
 -208.7280  956.7303 -1233.3417    0.9507   -0.0980   -0.2941
 -206.1257  978.1561 -1236.6262    0.9532   -0.0913   -0.2883
 -191.3369 1000.1953 -1236.8348    0.9682   -0.1011   -0.2289
 -240.6843  926.9632 -1288.3130    0.8741   -0.3090   -0.3749
 -228.3625  948.2232 -1288.9082    0.8949   -0.2183   -0.3891
 -235.2557  964.6476 -1290.7603    0.8958   -0.1847   -0.4042
 -219.7047  981.6423 -1286.8651    0.9089   -0.1501   -0.3890
 -206.7754  993.7908 -1292.4750    0.9158   -0.1304   -0.3798
 -242.4171  926.0531 -1314.8523    0.8782   -0.2901   -0.3803
 -245.5999  951.0811 -1318.0691    0.8856   -0.2352   -0.4006
 -255.1798  969.5513 -1326.2561    0.8804   -0.2092   -0.4257
 -240.3853  990.2653 -1330.8337    0.8743   -0.2620   -0.4086
 -213.7118  993.0917 -1327.1643    0.8476   -0.4258   -0.3168
 -255.2133  939.3423 -1369.4973    0.8599   -0.2741   -0.4307
 -269.6531  958.5527 -1367.8982    0.8557   -0.2681   -0.4426
 -276.0856  979.1529 -1367.4546    0.8308   -0.2927   -0.4733
 -262.8595  988.9715 -1377.3098    0.4922   -0.7186   -0.4914
 -250.1673  978.3157 -1386.8523   -0.2739   -0.9515   -0.1397
 -283.3350  948.9897 -1422.3247    0.7233   -0.2916   -0.6259
 -297.4124  963.3402 -1417.5957    0.7061   -0.2993   -0.6418
 -301.9240  984.8586 -1411.7911    0.7040   -0.3124   -0.6378
 -295.3325  991.4888 -1425.6240   -0.0218   -0.9691   -0.2455
 -280.2758  972.3795 -1433.7520   -0.3611   -0.9114   -0.1976
 -345.6066  965.0690 -1492.7949    0.6902   -0.3746   -0.6191
 -352.0089  986.6191 -1485.8901    0.6902   -0.3752   -0.6188
 -347.0518  996.9648 -1487.2189    0.2661   -0.8788   -0.3961
 -331.7197  984.7786 -1500.5366   -0.3594   -0.9209   -0.1506
 -348.0811  973.1964 -1520.3923   -0.7284   -0.6829   -0.0560
 -400.4701  995.6191 -1558.9282    0.4009   -0.8320   -0.3834
 -394.0891  998.8528 -1557.5339    0.3883   -0.8419   -0.3748
 -386.4915 1001.7022 -1556.9834    0.3438   -0.8767   -0.3364
 -380.4262  991.7895 -1568.5906   -0.4035   -0.9034   -0.1453
 -383.5025  984.2794 -1567.3402   -0.7630   -0.6463    0.0090
 -430.2099  997.5840 -1621.4861   -0.2548   -0.9539   -0.1588
