% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 09:58:08 2021
% raw surface, 76 visible points, bounding box reference
% x y z dx dy dz
  458.6555  -24.7848 -1203.2878    0.1270    0.9754   -0.1802
  449.1801  -46.7635 -1208.3314    0.2296    0.9516   -0.2045
  435.1852  -63.0597 -1213.6528    0.3066    0.9211   -0.2400
  420.4988  -44.9948 -1209.8203    0.4408    0.8558   -0.2709
  418.1479  -30.7297 -1199.3340    0.4903    0.8287   -0.2700
  479.8619  -75.1064 -1230.2866    0.6066    0.6120   -0.5075
  460.8991  -65.1832 -1237.4999    0.5503    0.7183   -0.4257
  429.4532  -82.9113 -1243.6951    0.5325    0.6779   -0.5069
  418.4939  -54.8069 -1245.7272    0.5276    0.7020   -0.4783
  390.7732  -53.1372 -1250.0223    0.4674    0.7158   -0.5188
  442.0125 -123.1033 -1263.4100    0.8539    0.2703   -0.4447
  443.4759 -109.0093 -1279.7955    0.7985    0.3456   -0.4929
  425.5081 -101.6653 -1278.5668    0.7733    0.3786   -0.5086
  414.7256  -74.0958 -1285.7527    0.7507    0.4174   -0.5121
  423.5272  -46.8469 -1300.5715    0.8328    0.3284   -0.4457
  453.4424 -152.3307 -1317.1072    0.6369    0.4410   -0.6324
  438.1647 -135.2389 -1322.1102    0.5654    0.5048   -0.6523
  422.0300 -138.7302 -1315.8594    0.5483    0.5111   -0.6620
  406.2212 -130.8923 -1314.4680    0.5090    0.5335   -0.6755
  378.6270 -126.3208 -1323.4642    0.5802    0.4545   -0.6759
  456.9032 -159.7940 -1361.5112    0.1266    0.7827   -0.6093
  436.6477 -151.9705 -1357.0981    0.0546    0.7865   -0.6151
  415.1469 -162.6886 -1344.6027   -0.0070    0.7718   -0.6358
  404.1581 -172.0864 -1336.8546   -0.0367    0.7610   -0.6478
  394.5448 -191.1281 -1332.3008    0.0081    0.7368   -0.6761
  449.9872 -194.3900 -1403.3491    0.1393    0.6023   -0.7860
  417.3426 -200.2318 -1391.8994    0.0785    0.6044   -0.7928
  399.2273 -205.6985 -1390.2847    0.0648    0.5896   -0.8051
  381.2680 -197.6258 -1394.5530    0.0288    0.6549   -0.7552
  359.1664 -213.2071 -1386.5244    0.0058    0.6358   -0.7718
  414.8990 -266.8683 -1400.0807    0.3321    0.3860   -0.8606
  399.7426 -242.8443 -1412.0674    0.3911    0.3015   -0.8696
  384.5249 -229.2534 -1414.0461    0.3836    0.3374   -0.8597
  375.7437 -219.9290 -1422.2426    0.3817    0.4111   -0.8278
  349.9431 -220.3076 -1421.4142    0.2885    0.4460   -0.8472
  362.2404 -300.4346 -1414.7981    0.7714   -0.3186   -0.5508
  368.3747 -280.2099 -1435.0493    0.7706   -0.2414   -0.5899
  363.1881 -268.3511 -1449.3491    0.7431   -0.1647   -0.6486
  365.4757 -254.8179 -1457.7706    0.7598   -0.1181   -0.6394
  352.1346 -239.9104 -1475.7666    0.7158   -0.0321   -0.6976
  353.7191 -330.8799 -1438.9691    0.7498   -0.3575   -0.5567
  349.1814 -311.5939 -1458.4900    0.7194   -0.2675   -0.6410
  345.4877 -299.7607 -1469.8842    0.6899   -0.2058   -0.6940
  352.5547 -287.5022 -1482.6965    0.7544   -0.3447   -0.5586
  352.2467 -270.4680 -1501.3666    0.7422   -0.2253   -0.6312
  351.1415 -361.4405 -1463.9076    0.8805   -0.3246   -0.3454
  334.8731 -353.2330 -1478.6245    0.8625   -0.2935   -0.4123
  317.6349 -339.6447 -1498.5514    0.8352   -0.2991   -0.4615
  319.8963 -341.8229 -1513.9451    0.8308   -0.3394   -0.4411
  332.1460 -349.5311 -1540.5297    0.8207   -0.4012   -0.4067
  308.7188 -383.8784 -1472.5546    0.7749   -0.4761   -0.4158
  305.9006 -373.0021 -1494.3157    0.7749   -0.4371   -0.4566
  300.8377 -362.7309 -1508.9465    0.7772   -0.4117   -0.4759
  302.0476 -362.5468 -1530.9800    0.7538   -0.4301   -0.4967
  306.7690 -357.2681 -1548.9357    0.7560   -0.3841   -0.5300
  269.3615 -399.7803 -1487.1268    0.7027   -0.5775   -0.4156
  275.2726 -396.4651 -1506.6206    0.7118   -0.5386   -0.4508
  275.0362 -389.5645 -1521.7793    0.6917   -0.5139   -0.5074
  272.8954 -385.2724 -1536.0973    0.6749   -0.4943   -0.5478
  272.5627 -375.0404 -1555.6929    0.6966   -0.4101   -0.5887
  246.0948 -430.7421 -1507.7441    0.6974   -0.5988   -0.3937
  252.9171 -417.0411 -1525.5020    0.7274   -0.5130   -0.4557
  251.2603 -411.7655 -1533.6240    0.7238   -0.4912   -0.4846
  245.7315 -402.4200 -1546.7549    0.7058   -0.4731   -0.5273
  236.9260 -396.8165 -1562.9661    0.6621   -0.4723   -0.5818
  228.5359 -462.0605 -1531.2631    0.5590   -0.5561   -0.6150
  224.1458 -450.0996 -1537.8695    0.5606   -0.5353   -0.6318
  216.2866 -437.3087 -1544.9318    0.5559   -0.5274   -0.6425
  209.5752 -426.2032 -1556.9329    0.5532   -0.5048   -0.6626
  200.2292 -421.2718 -1570.0940    0.5252   -0.5022   -0.6870
  177.6339 -459.4184 -1526.7726    0.2993   -0.7283   -0.6164
  171.6952 -454.8038 -1535.9977    0.3067   -0.7117   -0.6320
  167.0664 -449.8415 -1545.2300    0.3173   -0.7041   -0.6352
  165.5274 -445.7089 -1551.4250    0.3233   -0.6866   -0.6513
  161.4096 -440.4324 -1559.7805    0.3076   -0.6769   -0.6688
   32.9524 -434.0765 -1510.4052    0.2669   -0.9633   -0.0300
