% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 12:12:05 2021
% raw surface, 81 visible points, bounding box reference
% x y z dx dy dz
  294.4313  530.5891 -1228.6919    0.1320   -0.7337   -0.6665
  297.1345  538.9710 -1232.1250    0.1152   -0.6785   -0.7255
  307.3866  547.3941 -1228.0304    0.1419   -0.6770   -0.7221
  320.9365  543.6872 -1229.1521    0.1711   -0.6856   -0.7076
  331.9456  545.7889 -1226.7046    0.2256   -0.6878   -0.6899
  274.0171  582.0865 -1242.0531    0.0010   -0.5763   -0.8173
  289.6129  578.8581 -1252.0627    0.0209   -0.5571   -0.8302
  302.9055  579.0052 -1251.0020    0.0587   -0.5517   -0.8320
  320.6717  579.6125 -1256.2054    0.1266   -0.5731   -0.8097
  338.2820  582.2186 -1248.1271    0.1540   -0.5916   -0.7914
  266.6136  618.5368 -1268.3652   -0.2343   -0.5296   -0.8153
  284.7449  608.1841 -1274.7734   -0.1711   -0.5264   -0.8328
  297.1276  609.5790 -1270.4529   -0.1416   -0.5172   -0.8441
  317.4730  599.4262 -1278.8899   -0.1149   -0.5408   -0.8333
  339.7789  594.5784 -1274.1531   -0.0485   -0.5793   -0.8137
  254.1761  634.2999 -1294.6582   -0.2092   -0.4912   -0.8456
  275.7069  630.2041 -1293.6063   -0.1368   -0.5161   -0.8455
  293.6145  635.3740 -1283.5963   -0.1119   -0.5108   -0.8524
  310.2487  622.8083 -1299.2926   -0.1727   -0.5337   -0.8278
  317.7190  627.5709 -1317.7190   -0.1764   -0.4621   -0.8691
  259.4870  685.9017 -1285.0328   -0.2211   -0.4130   -0.8835
  272.4453  678.4222 -1300.1410   -0.2217   -0.4304   -0.8750
  282.3284  681.2258 -1301.1119   -0.1932   -0.4383   -0.8778
  299.7859  670.7258 -1305.9551   -0.1787   -0.4420   -0.8790
  321.7659  669.0491 -1305.1533   -0.1173   -0.4558   -0.8823
  233.0845  742.9059 -1326.1886    0.0237   -0.3030   -0.9527
  256.0396  734.3438 -1321.8568    0.0478   -0.3483   -0.9362
  269.9940  739.9939 -1314.9338    0.0845   -0.3294   -0.9404
  289.8223  741.3857 -1307.2819    0.1415   -0.3459   -0.9276
  306.2929  751.3464 -1289.6140    0.2063   -0.3226   -0.9238
  233.6588  791.1023 -1294.9890   -0.0596   -0.2528   -0.9657
  239.6540  802.2995 -1311.8875   -0.0820   -0.2295   -0.9698
  263.9088  802.4931 -1306.2572   -0.0490   -0.2263   -0.9728
  278.5881  798.2127 -1312.6263   -0.0181   -0.2741   -0.9615
  301.7191  802.2161 -1311.2063    0.0612   -0.2805   -0.9579
  206.7776  857.6235 -1308.6716   -0.0646   -0.6968    0.7144
  221.7227  861.0714 -1307.4891   -0.0201   -0.7011    0.7128
  239.2673  866.2291 -1308.1390    0.0443   -0.7012    0.7116
  259.5144  869.8813 -1310.3152    0.0578   -0.6998    0.7120
  273.8038  877.9598 -1316.8418    0.0897   -0.6969    0.7115
  206.2239  873.5634 -1291.9484   -0.0778   -0.6331    0.7702
  220.1442  878.6170 -1300.7390   -0.0600   -0.6506    0.7570
  238.2445  881.0199 -1302.8389   -0.0259   -0.6502    0.7593
  255.0101  884.3174 -1302.3335   -0.0044   -0.6462    0.7632
  274.5667  893.2560 -1300.9146    0.0206   -0.6391    0.7689
  197.2438  896.0510 -1293.6489   -0.1338   -0.6016    0.7875
  213.3327  899.3473 -1294.7448   -0.1200   -0.5856    0.8016
  231.9810  898.9457 -1295.4761   -0.0806   -0.6025    0.7940
  248.5149  905.0829 -1292.8667   -0.0389   -0.5974    0.8010
  268.5518  911.0582 -1290.2533   -0.0109   -0.5804    0.8142
  195.1110  915.7391 -1294.6199   -0.1403   -0.5754    0.8057
  212.6393  917.1819 -1294.0796   -0.1327   -0.5843    0.8006
  227.8723  918.0627 -1289.6997   -0.1036   -0.5881    0.8021
  245.1236  923.6774 -1289.4177   -0.0556   -0.5826    0.8109
  266.6232  930.3263 -1289.4736   -0.0328   -0.5742    0.8181
  187.5984  939.2935 -1274.6633   -0.1961   -0.5486    0.8128
  204.4459  942.7221 -1276.2250   -0.1486   -0.5510    0.8212
  222.2808  942.0875 -1276.9983   -0.1185   -0.5727    0.8111
  238.3285  944.6297 -1276.1322   -0.1020   -0.5529    0.8269
  254.8130  950.8627 -1266.8539   -0.0819   -0.5497    0.8313
  186.2306  959.9100 -1242.0713   -0.0583   -0.7853    0.6164
  201.6377  970.0986 -1250.7301   -0.0922   -0.8036    0.5880
  212.0308  975.7640 -1250.6030   -0.0714   -0.8177    0.5712
  230.8828  978.3826 -1251.6362   -0.0404   -0.8177    0.5743
  243.3876  987.2143 -1240.1479   -0.0251   -0.7948    0.6063
  190.3871  992.5989 -1195.4579    0.3196   -0.9471   -0.0283
  206.5904  990.2685 -1193.9136    0.3196   -0.9475   -0.0066
  217.2834  992.0776 -1194.4010    0.3254   -0.9455   -0.0084
  230.3754  995.2737 -1196.2578    0.3801   -0.9249   -0.0060
  240.0433 1003.9909 -1193.3081    0.4236   -0.9057    0.0169
  201.3087  979.9908 -1144.5234    0.3534   -0.9340   -0.0522
  211.0295  992.2878 -1148.9125    0.4076   -0.9117   -0.0513
  219.5890  996.8868 -1149.4448    0.4390   -0.8978   -0.0359
  229.1233 1003.7147 -1152.7664    0.5211   -0.8533   -0.0203
  235.2007 1008.5057 -1149.0203    0.5577   -0.8300   -0.0065
  216.9844  981.6192 -1111.0947    0.5445   -0.6194   -0.5655
  220.3657  987.7844 -1113.7667    0.5608   -0.6032   -0.5671
  230.8441  991.0773 -1111.3997    0.5673   -0.5995   -0.5645
  240.2151  994.0756 -1115.6598    0.5683   -0.5817   -0.5819
  242.2771  997.3868 -1116.2903    0.5835   -0.5715   -0.5769
  254.4397  935.9992 -1058.4749    0.6327   -0.6642   -0.3981
