% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 11:48:50 2021
% raw surface, 81 visible points, bounding box reference
% x y z dx dy dz
   46.5670  783.9501 -1614.5415    0.0826   -0.8273   -0.5557
   56.9220  792.0087 -1618.0894    0.1139   -0.8159   -0.5669
   69.6306  805.3961 -1621.7400    0.1398   -0.8024   -0.5802
   86.7915  800.8306 -1618.6307    0.1522   -0.8041   -0.5747
  102.5285  795.8035 -1611.1456    0.1842   -0.7964   -0.5761
   37.6695  779.7547 -1659.6582    0.1972   -0.7014   -0.6850
   48.1507  803.9861 -1657.1011    0.1995   -0.6796   -0.7059
   58.5606  825.3036 -1654.8145    0.2250   -0.6562   -0.7203
   90.0619  817.6331 -1651.2021    0.2926   -0.6537   -0.6979
  111.0672  814.6921 -1651.4489    0.3262   -0.6671   -0.6698
   17.8370  825.0347 -1670.0143    0.5041   -0.2118    0.8373
   40.0031  828.8206 -1682.1467    0.5609   -0.2080    0.8014
   53.4361  835.6660 -1687.1848    0.1597   -0.3670    0.9164
   66.9103  854.5146 -1676.1331   -0.3526   -0.4879    0.7985
   53.4112  872.7885 -1661.1366   -0.3675   -0.6066   -0.7050
   34.8997  908.3912 -1681.3032    0.9455    0.0759   -0.3166
   30.9264  898.5046 -1698.6970    0.9419    0.0744   -0.3275
   28.9441  893.9061 -1722.9177    0.0446   -0.2534    0.9663
   53.6664  910.3622 -1717.4209    0.0036   -0.2908    0.9568
   66.7636  919.4964 -1703.9771   -0.0544   -0.2729    0.9605
  -21.9843  919.0164 -1700.5294    0.9957    0.0824   -0.0420
   -2.9044  925.0724 -1720.8477    0.9499    0.0466    0.3091
   12.2276  938.0135 -1728.5405    0.2349   -0.4013    0.8853
   23.0538  948.1660 -1711.8839   -0.3215   -0.6484    0.6901
   37.6663  954.1104 -1697.9663   -0.2943   -0.6509    0.6998
  -47.1043  965.7181 -1712.7705    0.0220   -0.1583   -0.9871
  -18.1790  971.7531 -1716.5249    0.1616   -0.1210   -0.9794
   -4.4711  977.3664 -1715.2290    0.3534   -0.0830   -0.9318
    5.7243  979.6954 -1690.8735    0.4442   -0.0976   -0.8906
   10.8173  978.8973 -1668.4979    0.4677   -0.1200   -0.8757
  -58.7607  993.7294 -1720.3430    0.3292   -0.8046    0.4942
  -41.4135 1002.7932 -1717.3022    0.4075   -0.7466    0.5259
  -15.8632 1014.8148 -1715.8118    0.4713   -0.6796    0.5622
    7.4389 1026.7383 -1702.1313    0.3006   -0.4938    0.8160
   32.9500 1035.0079 -1690.5286    0.3334   -0.4222    0.8429
  -68.9265 1023.9498 -1677.6289    0.9069   -0.3901    0.1592
  -45.9782 1041.2109 -1682.1149    0.9314   -0.3140    0.1838
  -23.6183 1052.9636 -1691.5791    0.8914   -0.2686    0.3651
   -6.3265 1060.3625 -1699.4426    0.6467   -0.2914    0.7049
   26.6714 1073.5052 -1692.0354    0.5900   -0.1969    0.7830
  -67.2249 1060.7167 -1638.8169    0.9050   -0.2925    0.3089
  -50.4077 1072.8362 -1658.8613    0.9374   -0.2043    0.2820
  -35.8795 1084.0514 -1677.1255    0.9140   -0.1804    0.3635
   -8.8407 1097.7810 -1690.2429    0.9069   -0.1337    0.3995
   11.0884 1109.6162 -1701.4451    0.9127   -0.0644    0.4034
  -75.7965 1098.6935 -1622.2356    0.8921   -0.1655    0.4204
  -65.0636 1108.6499 -1643.9609    0.9219   -0.1177    0.3692
  -42.6616 1118.2887 -1660.0525    0.9201   -0.1074    0.3766
  -23.2176 1128.7511 -1671.6399    0.9258   -0.0618    0.3729
   -6.4184 1141.3158 -1690.6493    0.9415   -0.0134    0.3367
  -98.4202 1140.1033 -1613.3481    0.8609   -0.0851    0.5017
  -75.3245 1151.8926 -1633.5378    0.8944   -0.0741    0.4412
  -58.8546 1157.0394 -1636.8191    0.8943   -0.0839    0.4395
  -29.3120 1165.1451 -1644.8794    0.8945   -0.0543    0.4437
  -19.2257 1178.1405 -1657.5363    0.9096   -0.0110    0.4153
 -108.2279 1180.4946 -1609.1782    0.8419   -0.1027    0.5297
  -85.9198 1186.4231 -1609.4233    0.8441   -0.1370    0.5184
  -67.5880 1188.9807 -1610.0774    0.8542   -0.1225    0.5053
  -48.4400 1193.1063 -1616.8226    0.8663   -0.1201    0.4849
  -26.1703 1203.6700 -1623.2114    0.8747   -0.0502    0.4821
 -112.3966 1205.5322 -1586.2502    0.8509   -0.1969    0.4870
  -91.4789 1204.8983 -1584.6084    0.8332   -0.2200    0.5073
  -69.9760 1207.4832 -1584.4014    0.8360   -0.2255    0.5003
  -55.2603 1213.9006 -1589.7998    0.8619   -0.1810    0.4737
  -34.3737 1228.6333 -1593.5081    0.8434   -0.1629    0.5120
 -116.3513 1215.2501 -1565.9121    0.5122   -0.8245    0.2407
  -92.7928 1220.6177 -1567.7251    0.5649   -0.7834    0.2594
  -79.9883 1224.4683 -1562.0400    0.5833   -0.7631    0.2784
  -68.4895 1232.1429 -1566.1167    0.6112   -0.7385    0.2847
  -54.9402 1249.0876 -1567.9181    0.6903   -0.6683    0.2774
 -108.8805 1241.0385 -1515.0171    0.5119   -0.7924    0.3316
  -93.7574 1245.5908 -1514.9644    0.5315   -0.7774    0.3363
  -79.7904 1248.6119 -1512.7936    0.5489   -0.7706    0.3239
  -70.7922 1252.8341 -1519.0911    0.5842   -0.7461    0.3195
  -53.8671 1266.6058 -1519.0903    0.6172   -0.7235    0.3093
  -95.9442 1257.8094 -1457.9303    0.4387   -0.8654    0.2420
  -89.6852 1260.0614 -1455.4031    0.4301   -0.8692    0.2437
  -84.7285 1258.6753 -1462.6575    0.4431   -0.8592    0.2559
  -72.4338 1264.9364 -1463.3948    0.4784   -0.8415    0.2510
  -65.8564 1272.5496 -1458.7363    0.5036   -0.8235    0.2614
  -81.5593 1255.9235 -1341.2751    0.3375   -0.8509    0.4025
