% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 12:23:02 2021
% raw surface, 66 visible points, bounding box reference
% x y z dx dy dz
   72.0301  882.9006 -1525.4089    0.2757   -0.5906   -0.7584
   68.6994  890.6300 -1537.3877    0.2673   -0.5480   -0.7926
   76.7174  901.4990 -1537.1624    0.3318   -0.5212   -0.7863
   94.7747  900.1873 -1530.5134    0.3522   -0.5580   -0.7514
  105.2403  892.1337 -1523.5615    0.3919   -0.5907   -0.7053
   38.7647  896.5802 -1593.7170    0.3757   -0.5977   -0.7082
   51.6949  915.6694 -1590.9398    0.4409   -0.5122   -0.7371
   61.1498  932.0999 -1579.6182    0.4590   -0.4823   -0.7461
   85.5445  933.6259 -1583.1177    0.4087   -0.4888   -0.7708
  100.8499  939.9730 -1578.1724    0.4485   -0.4774   -0.7556
   16.9433  987.5482 -1606.0718    0.9978   -0.0434    0.0494
   24.9091  981.8087 -1628.1974    0.9995   -0.0071    0.0312
   37.4643  979.7328 -1640.0054    0.4141    0.2232    0.8824
   42.4982  987.3630 -1634.9308   -0.6912   -0.2491    0.6784
   37.2118 1000.3216 -1606.9894   -0.7799   -0.2208    0.5856
   -4.7962 1028.4948 -1641.2356    0.9511    0.3022    0.0633
    6.0265 1020.1257 -1653.1255    0.9447    0.3166    0.0856
   22.2337 1017.8034 -1669.1066    0.7646    0.4188    0.4899
   43.7952 1029.4727 -1663.9233    0.6268    0.5075    0.5912
   53.3404 1046.0785 -1653.0300   -0.0049    0.4521    0.8920
  -39.6448 1045.4608 -1676.5371    0.7940    0.5210    0.3132
  -11.1953 1045.2544 -1691.5188    0.6971    0.5204    0.4932
    2.3160 1055.9261 -1686.7615    0.5438    0.5047    0.6705
   29.1513 1060.5420 -1699.5842    0.5299    0.5092    0.6781
   47.5299 1060.2714 -1709.7274    0.5156    0.5239    0.6780
  -56.6803 1070.4482 -1727.3328   -0.0117   -0.0169    0.9998
  -35.0210 1080.5107 -1717.8717    0.0317   -0.0313    0.9990
  -21.0905 1089.9791 -1708.2837    0.0684   -0.0185    0.9975
   -2.4614 1098.4404 -1713.5209    0.1098   -0.0310    0.9935
    7.0780 1099.8975 -1696.2952   -0.2558   -0.5426    0.8001
  -57.3799 1095.2163 -1732.4854    0.6918    0.1919   -0.6961
  -47.2435 1107.2014 -1719.8481    0.7066    0.2214   -0.6721
  -41.8439 1116.4554 -1709.6628    0.6986    0.2251   -0.6792
  -20.0902 1123.5323 -1703.0591    0.7425    0.2280   -0.6299
  -22.0068 1123.2538 -1680.5046    0.7758    0.2397   -0.5837
  -82.1394 1111.6840 -1731.2783    0.5473   -0.4077    0.7310
  -60.3582 1125.2015 -1731.3474    0.4793   -0.3591    0.8008
  -48.8863 1132.8789 -1727.5425    0.4307   -0.3411    0.8356
  -41.2426 1140.7590 -1713.8140    0.2012   -0.3276    0.9232
  -36.8494 1145.3015 -1674.1006    0.9291    0.2667   -0.2564
  -98.6515 1142.9171 -1708.5764    0.9167   -0.1128    0.3834
  -80.0086 1160.1327 -1717.6797    0.9142   -0.0540    0.4017
  -65.4621 1169.7236 -1719.8105    0.6297   -0.2001    0.7507
  -62.3553 1175.5071 -1710.7959   -0.1945   -0.5054    0.8407
  -60.3560 1180.5348 -1682.9680   -0.2821   -0.4747    0.8337
 -102.5894 1189.9164 -1682.1711    0.9755    0.0811    0.2047
 -100.7597 1197.2533 -1699.0779    0.9681    0.0924    0.2331
  -85.8012 1205.0428 -1715.5726    0.8187   -0.0769    0.5691
  -68.7862 1218.6558 -1713.4985    0.7359   -0.0551    0.6748
  -61.4498 1232.9906 -1694.2871    0.4443   -0.0336    0.8953
 -121.2269 1227.3757 -1669.8052    0.9751    0.2129    0.0621
 -118.8109 1235.2292 -1692.7957    0.9741    0.1947    0.1151
 -106.3559 1235.6749 -1705.6506    0.9459    0.0345    0.3225
  -90.0793 1243.3307 -1715.1721    0.9094   -0.0132    0.4158
  -69.5424 1257.2760 -1716.3225    0.8784    0.0324    0.4769
 -158.5893 1272.8347 -1676.7512    0.6563   -0.7018    0.2772
 -144.7377 1276.9120 -1677.2634    0.6653   -0.6968    0.2681
 -132.5568 1280.6716 -1679.9030    0.6811   -0.6867    0.2542
 -124.7270 1287.2185 -1676.5742    0.6857   -0.6804    0.2584
 -110.3058 1296.9354 -1674.1294    0.7328   -0.6260    0.2667
 -165.7155 1311.2085 -1625.3831    0.5066   -0.8578    0.0871
 -155.3083 1305.9506 -1627.0435    0.4720   -0.8761    0.0985
 -149.6678 1309.4972 -1627.7424    0.4820   -0.8721    0.0847
 -142.2346 1312.1041 -1622.0405    0.4857   -0.8701    0.0840
 -130.3479 1316.2329 -1620.3674    0.5150   -0.8503    0.1087
 -162.2112 1324.6481 -1492.6089    0.4287   -0.8720    0.2364
