% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 10:50:54 2021
% raw surface, 56 visible points, bounding box reference
% x y z dx dy dz
  467.4375  235.2914 -1204.4497    0.0235    0.9495   -0.3129
  453.0752  230.1197 -1208.6726   -0.0087    0.9472   -0.3205
  440.8340  222.1806 -1205.7865   -0.0283    0.9470   -0.3200
  427.3944  212.7094 -1203.3564   -0.0269    0.9393   -0.3421
  415.3129  213.6685 -1199.2565    0.0652    0.9219   -0.3818
  449.7751  205.0959 -1293.8652   -0.9637   -0.2647    0.0343
  460.7469  191.8032 -1273.1035   -0.9574   -0.2867    0.0354
  459.9127  178.2389 -1258.7531   -0.5443    0.4487   -0.7088
  432.5851  175.9325 -1275.4957    0.1533    0.6033   -0.7826
  425.1550  186.7909 -1288.3173    0.4418    0.6014   -0.6657
  486.6638  173.5215 -1324.0471   -0.8924   -0.4156   -0.1759
  484.8720  160.9583 -1303.0466   -0.9233   -0.3483   -0.1619
  473.5049  146.1996 -1281.3281   -0.7613    0.2342   -0.6046
  446.1789  156.6390 -1293.2113    0.3371    0.4898   -0.8040
  431.0984  156.5137 -1307.0068    0.3956    0.4550   -0.7978
  529.6259  147.4348 -1323.0308   -0.1073    0.7247   -0.6807
  513.9934  134.7991 -1311.4720   -0.1156    0.7603   -0.6392
  500.0913  117.2538 -1303.7739   -0.0745    0.7328   -0.6764
  485.9201  109.0566 -1308.8923   -0.0924    0.7026   -0.7055
  462.2096   87.0083 -1306.9152   -0.1142    0.6502   -0.7512
  564.9857   81.2496 -1315.3679    0.1593    0.6244   -0.7647
  541.9078   78.4594 -1327.6852    0.1065    0.6046   -0.7894
  519.4838   74.9252 -1330.3323    0.0365    0.6003   -0.7990
  497.5416   68.0504 -1338.1637   -0.0371    0.5782   -0.8150
  471.1556   61.7605 -1341.6947   -0.1192    0.5776   -0.8076
  578.3341   60.7897 -1350.0272    0.1281    0.6249   -0.7701
  551.8716   49.5177 -1349.3995    0.0628    0.6015   -0.7964
  533.4412   43.1580 -1344.6666    0.0377    0.6027   -0.7971
  511.1941   43.3072 -1359.9333    0.0730    0.6257   -0.7767
  492.2618   44.6728 -1369.8763   -0.0038    0.5910   -0.8066
  599.6925   19.2299 -1376.6360    0.1383    0.4567   -0.8788
  574.8262    3.5108 -1372.1855    0.0754    0.4291   -0.9001
  560.0760   -8.1639 -1369.2239    0.0341    0.4120   -0.9105
  548.5226  -21.5981 -1362.5649    0.0091    0.3795   -0.9252
  538.2189  -34.4819 -1336.8767    0.0235    0.4737   -0.8804
  638.4817  -63.7042 -1374.4404    0.2662    0.4075   -0.8735
  610.0286  -78.7102 -1381.6548    0.2225    0.3376   -0.9146
  598.3038  -87.7694 -1382.5315    0.2042    0.3236   -0.9239
  579.1442  -96.8778 -1382.5920    0.1472    0.2966   -0.9436
  556.7107 -104.4668 -1373.2977    0.0856    0.3154   -0.9451
  653.1831 -141.7813 -1347.4785    0.4331    0.2391   -0.8690
  640.5645 -141.7758 -1364.2301    0.3445    0.2708   -0.8989
  622.3152 -143.6710 -1375.9490    0.2775    0.2450   -0.9289
  613.5579 -151.1592 -1366.4153    0.2621    0.1922   -0.9457
  595.5371 -155.7489 -1352.3992    0.2263    0.2548   -0.9401
  665.4287 -176.1704 -1342.9833    0.4414    0.4063   -0.8001
  668.1339 -180.0602 -1353.4238    0.4273    0.3787   -0.8210
  653.8881 -189.0769 -1364.5459    0.3514    0.3405   -0.8721
  635.6266 -195.4711 -1365.4121    0.1194    0.2583   -0.9587
  637.7931 -202.4472 -1337.0696    0.2224    0.3119   -0.9237
  698.4368 -228.0027 -1358.2533    0.4311    0.1058   -0.8961
  691.6490 -230.9524 -1361.7671    0.3851    0.1077   -0.9166
  681.7617 -242.4998 -1360.3077    0.2611    0.0982   -0.9603
  675.7625 -248.7837 -1351.1891    0.2415    0.0765   -0.9674
  669.3622 -254.1570 -1345.1251    0.2351    0.0697   -0.9695
  763.1903 -336.4425 -1341.6931    0.7237   -0.0672   -0.6868
