% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 10:54:01 2021
% raw surface, 61 visible points, bounding box reference
% x y z dx dy dz
  232.5208 1083.9497 -1500.0677   -0.7116    0.4651   -0.5267
  227.6575 1066.0302 -1506.2695   -0.7299    0.4281   -0.5330
  219.6811 1053.2719 -1507.1908   -0.7625    0.3999   -0.5087
  204.8587 1052.7483 -1506.3052   -0.8091    0.4122   -0.4189
  188.9315 1051.2727 -1502.4554   -0.8541    0.3725   -0.3629
  252.2978 1060.0950 -1551.7844   -0.5753    0.5973   -0.5588
  235.0154 1047.2604 -1547.6754   -0.6365    0.5410   -0.5498
  222.4731 1033.6102 -1541.1609   -0.6641    0.5108   -0.5459
  194.1800 1042.1934 -1536.6614   -0.5951    0.5950   -0.5402
  177.3988 1032.0280 -1530.9264   -0.6567    0.5465   -0.5197
  250.0046 1039.9266 -1592.0553   -0.5121    0.5193   -0.6842
  239.2339 1029.4503 -1575.4309   -0.5722    0.4785   -0.6661
  228.0346 1014.5218 -1568.3835   -0.5664    0.4525   -0.6888
  205.4954 1028.7777 -1572.7175   -0.2487    0.6123   -0.7505
  181.2267 1028.7544 -1578.1350   -0.3408    0.6239   -0.7033
  273.7722  993.2877 -1606.9722   -0.2559    0.4153   -0.8729
  254.4264  999.6976 -1609.0016   -0.2852    0.4320   -0.8556
  232.9654  992.3626 -1595.4996   -0.3508    0.4092   -0.8423
  215.8822 1009.8095 -1608.5200    0.1642    0.5683   -0.8063
  215.7455 1022.7971 -1627.8638    0.2522    0.6173   -0.7452
  277.2131  957.2522 -1630.0565    0.1205    0.5908   -0.7977
  258.9133  956.4711 -1643.5896    0.0761    0.5589   -0.8258
  238.0325  955.5117 -1640.5001    0.0330    0.5444   -0.8382
  222.2060  960.5748 -1650.2473    0.1606    0.4606   -0.8730
  199.7525  963.0553 -1665.8770    0.1209    0.4450   -0.8873
  289.7248  936.5187 -1676.9808    0.0578    0.5303   -0.8459
  261.7146  937.8727 -1673.1760   -0.0391    0.5215   -0.8524
  243.2308  927.9066 -1670.1975   -0.0720    0.4633   -0.8833
  225.0421  930.9650 -1675.7261   -0.0633    0.4676   -0.8817
  203.6311  931.8577 -1678.9727   -0.0967    0.4525   -0.8865
  299.8167  911.6167 -1710.7756   -0.5378    0.2999   -0.7879
  280.9450  899.6105 -1701.2142   -0.5579    0.2964   -0.7751
  252.7134  898.5025 -1691.2375    0.0121    0.3754   -0.9268
  236.8857  910.8942 -1703.0016    0.2711    0.4103   -0.8707
  215.2185  918.9796 -1710.3638    0.1758    0.4466   -0.8773
  319.5445  851.1371 -1729.5391   -0.3357    0.2227   -0.9153
  288.6261  853.9768 -1728.5283   -0.2711    0.2587   -0.9271
  267.2923  852.1498 -1723.2500   -0.2148    0.2477   -0.9447
  247.1289  874.9042 -1731.9497    0.2698    0.3041   -0.9137
  235.2683  876.3643 -1748.8171    0.4531    0.2661   -0.8508
  324.4754  831.2408 -1757.6292   -0.2699    0.2500   -0.9299
  295.8188  823.2010 -1754.3401   -0.2734    0.2546   -0.9276
  272.2750  817.4346 -1751.5847   -0.0124    0.2668   -0.9637
  238.4970  818.7102 -1762.8516    0.0254    0.1621   -0.9864
  228.1296  809.0286 -1756.7655   -0.0439    0.1412   -0.9890
  334.1267  773.2336 -1769.7195    0.0541    0.1318   -0.9898
  307.5537  774.7953 -1775.4922    0.0188    0.1710   -0.9851
  292.4651  774.6799 -1773.4534   -0.0118    0.1746   -0.9846
  268.9757  769.1992 -1782.0675   -0.0857    0.1503   -0.9849
  247.4065  760.9714 -1764.2690   -0.2276    0.1041   -0.9682
  327.5110  718.5625 -1802.0721    0.1613    0.1916   -0.9681
  315.6494  727.7427 -1809.0452    0.1793    0.2300   -0.9565
  304.4362  725.1224 -1804.9795    0.1141    0.2183   -0.9692
  285.5505  718.9930 -1802.6699    0.0367    0.1867   -0.9817
  269.0849  711.0854 -1788.1255   -0.0753    0.1558   -0.9849
  361.0490  620.9737 -1895.5061   -0.1011    0.4360   -0.8942
  344.2569  615.3439 -1897.7917   -0.1944    0.4183   -0.8873
  327.3975  615.6620 -1898.6853   -0.2574    0.4480   -0.8562
  318.9043  607.6872 -1900.3010   -0.2357    0.4560   -0.8582
  312.6573  606.6505 -1896.6528   -0.3137    0.4436   -0.8395
  352.8106  494.3933 -1809.9340   -0.4657    0.6970   -0.5453
