% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 09:08:23 2021
% raw surface, 66 visible points, bounding box reference
% x y z dx dy dz
  498.5946 -176.1816 -1530.5012    0.1181   -0.7895   -0.6023
  502.4937 -164.2180 -1544.5085    0.1488   -0.7570   -0.6362
  521.5750 -153.6526 -1551.5803    0.1941   -0.7445   -0.6388
  537.2504 -180.7383 -1535.4984    0.1166   -0.8205   -0.5597
  543.7974 -195.0967 -1524.4700    0.1479   -0.8308   -0.5366
  474.4867 -151.2025 -1581.4225    0.1133   -0.7636   -0.6357
  500.8233 -152.4718 -1577.4924    0.2064   -0.7271   -0.6548
  522.2863 -140.6719 -1566.3184    0.2674   -0.6938   -0.6687
  550.0132 -157.9740 -1561.9763    0.2814   -0.6950   -0.6616
  575.7738 -150.7313 -1552.6101    0.3353   -0.6677   -0.6646
  484.2566 -147.7444 -1608.2561    0.1526   -0.6017   -0.7840
  515.2362 -137.8674 -1590.3196    0.2627   -0.5677   -0.7802
  532.5474 -129.2079 -1576.7015    0.3029   -0.5329   -0.7901
  553.3922 -136.4049 -1596.3088    0.2460   -0.5062   -0.8266
  574.4133 -150.5224 -1609.7764    0.2243   -0.5064   -0.8326
  493.0100  -92.6192 -1597.2772   -0.2977   -0.4188   -0.8579
  520.4708  -87.5535 -1604.5261   -0.2075   -0.3967   -0.8942
  540.7351  -82.8959 -1598.0813   -0.1682   -0.4221   -0.8908
  562.6660  -88.7840 -1598.1704   -0.0890   -0.4190   -0.9036
  579.8317  -78.8327 -1580.0803   -0.0636   -0.4359   -0.8978
  507.0088  -31.3264 -1597.4045   -0.2458   -0.4328   -0.8673
  524.8286  -38.3625 -1609.7637   -0.1920   -0.4629   -0.8654
  549.3445  -34.3663 -1615.2664   -0.1170   -0.4355   -0.8926
  567.2861  -39.7229 -1611.6313   -0.0650   -0.4621   -0.8845
  580.7692  -26.8796 -1594.9939   -0.0387   -0.4698   -0.8819
  511.8772   -6.3676 -1621.2529   -0.1995   -0.4026   -0.8934
  530.9784  -15.9783 -1627.7397   -0.1355   -0.4254   -0.8948
  551.4030  -14.2688 -1617.6157   -0.0924   -0.4220   -0.9019
  571.3479  -16.4052 -1619.5885   -0.0420   -0.4406   -0.8967
  595.1321  -15.2545 -1609.0974    0.0073   -0.4627   -0.8865
  513.6359   11.6065 -1646.5521   -0.1284   -0.3827   -0.9149
  533.4462    6.8420 -1636.1907   -0.0773   -0.3921   -0.9167
  555.1819   10.6754 -1620.1802   -0.0411   -0.4125   -0.9100
  575.5282    6.7644 -1637.9928   -0.0128   -0.3822   -0.9240
  595.3124   10.3017 -1630.0649    0.0364   -0.3998   -0.9159
  513.2756   58.7305 -1634.0374   -0.1218   -0.3275   -0.9370
  537.0660   47.3594 -1627.7440   -0.0716   -0.3682   -0.9270
  560.7427   44.7411 -1622.8696   -0.0259   -0.3839   -0.9230
  572.8773   38.3716 -1636.2338   -0.1627   -0.3452   -0.9243
  593.1082   37.9447 -1653.1428   -0.1002   -0.3644   -0.9258
  527.3849  103.5964 -1631.5618    0.0113   -0.3847   -0.9230
  550.6406   84.2034 -1626.4109    0.0753   -0.4016   -0.9127
  561.2562   80.2577 -1618.2826    0.0950   -0.4090   -0.9076
  578.5162   85.3212 -1626.8523    0.0962   -0.3761   -0.9216
  592.1100   94.5638 -1645.2656    0.0936   -0.3458   -0.9336
  533.0920  132.7048 -1641.4520    0.1765    0.0300   -0.9838
  546.6685  117.6239 -1622.4854    0.1044    0.0292   -0.9941
  566.6371  110.9956 -1612.6011    0.0963    0.0276   -0.9950
  579.9645  128.6173 -1631.0764   -0.1696    0.0731   -0.9828
  592.1436  143.8038 -1652.7346   -0.1735    0.1010   -0.9796
  535.5529  201.8015 -1578.1702   -0.2858    0.1692   -0.9432
  558.8575  199.9497 -1580.2520   -0.2339    0.1191   -0.9649
  579.8782  196.9010 -1581.2290   -0.2354    0.1203   -0.9644
  594.6202  197.3974 -1596.8677   -0.2399    0.1419   -0.9604
  614.2535  198.0939 -1603.8500   -0.2244    0.1394   -0.9645
  550.5564  267.4637 -1560.9053   -0.2750    0.0312   -0.9609
  562.9597  268.7996 -1560.4172   -0.2545    0.0195   -0.9669
  582.7247  264.4265 -1557.3309   -0.2446    0.0350   -0.9690
  602.0806  265.3130 -1551.1829   -0.2244    0.0525   -0.9731
  620.7401  266.7408 -1541.1594   -0.2047    0.0652   -0.9766
  585.2177  429.8418 -1501.7446    0.2230    0.4992   -0.8373
  588.5348  421.2045 -1494.8094    0.2031    0.4748   -0.8563
  592.5176  409.3165 -1492.2244    0.2091    0.4345   -0.8761
  602.0370  405.3575 -1487.8479    0.1809    0.4311   -0.8840
  616.8868  403.6813 -1482.0981    0.1261    0.4498   -0.8842
  624.3883  557.7315 -1442.4772    0.1359    0.4704   -0.8719
