% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 11:05:01 2021
% raw surface, 61 visible points, bounding box reference
% x y z dx dy dz
   29.1671  819.0434 -1414.2162    0.4062   -0.6264   -0.6653
   24.2490  835.5699 -1419.3875    0.4154   -0.5734   -0.7062
   27.4541  851.1846 -1426.2771    0.4276   -0.4957   -0.7560
   44.7647  853.9865 -1424.6313    0.4534   -0.4956   -0.7408
   55.0066  854.1785 -1414.4675    0.4933   -0.4941   -0.7159
  -12.6627  831.5997 -1459.2024    0.3038   -0.7416   -0.5981
    5.0467  845.1140 -1456.1954    0.3946   -0.7037   -0.5909
    6.6054  862.2850 -1454.5466    0.4215   -0.6333   -0.6491
   32.0547  868.9363 -1457.4823    0.4870   -0.5617   -0.6688
   49.2776  881.3764 -1459.0515    0.5309   -0.5014   -0.6832
  -49.7349  857.8533 -1487.3716    0.2525   -0.4909   -0.8338
  -33.5865  873.2194 -1490.0724    0.3094   -0.4390   -0.8436
  -29.1971  883.9982 -1485.3230    0.3285   -0.4069   -0.8524
  -17.2291  894.1854 -1480.9717    0.3583   -0.3224   -0.8762
  -27.6179  905.9700 -1472.7095    0.3539   -0.3253   -0.8769
  -86.0240  885.4765 -1512.2097    0.2584   -0.5454   -0.7974
  -75.2637  897.0944 -1517.0842    0.3260   -0.4775   -0.8159
  -71.6485  906.6810 -1519.3081    0.3926   -0.3700   -0.8420
  -63.5168  910.6491 -1506.5107    0.8716   -0.0016   -0.4901
  -76.2519  911.1879 -1496.3401    0.8770   -0.0313   -0.4795
 -115.7816  892.7370 -1548.5903    0.7306   -0.1463   -0.6669
 -110.6224  910.3251 -1544.7363    0.7479   -0.0964   -0.6567
 -111.8093  923.5142 -1540.5959    0.7463   -0.0669   -0.6622
  -97.3741  937.4954 -1538.7460    0.7610   -0.0463   -0.6471
 -100.9746  953.5464 -1527.0739    0.7736   -0.0110   -0.6335
 -164.5230  920.6171 -1576.4331    0.6075    0.0253   -0.7939
 -160.2802  927.9100 -1565.2063    0.6465    0.0329   -0.7622
 -156.2155  940.5121 -1551.9114    0.6804    0.0506   -0.7311
 -135.2149  947.5193 -1558.5404    0.6751   -0.0309   -0.7371
 -140.3917  956.7028 -1546.6626    0.6957   -0.0013   -0.7183
 -219.3955  933.8337 -1559.9650    0.4755   -0.0137   -0.8796
 -209.3638  949.2352 -1559.7754    0.5083    0.0215   -0.8609
 -200.4379  964.7897 -1552.2393    0.5327    0.0481   -0.8449
 -190.9472  971.2071 -1560.2809    0.5257    0.0312   -0.8501
 -175.6497  980.3915 -1560.0012    0.5848    0.0364   -0.8104
 -262.3128  951.6111 -1581.2648   -0.1245   -0.8215    0.5564
 -252.9600  961.3348 -1572.3646   -0.1474   -0.8274    0.5419
 -248.0505  976.2528 -1561.9294   -0.1219   -0.8230    0.5548
 -240.8805  986.6066 -1553.9341   -0.1481   -0.8421    0.5186
 -240.2845  991.2840 -1528.6995   -0.1684   -0.8311    0.5299
 -294.0797  958.8737 -1560.9952    0.0846   -0.7747    0.6266
 -289.0609  975.1903 -1557.7190    0.0816   -0.7898    0.6079
 -282.9929  987.0042 -1558.1511    0.0779   -0.7535    0.6529
 -276.6641 1001.2343 -1544.5726    0.0439   -0.7862    0.6164
 -267.6961 1005.4286 -1528.2737   -0.0036   -0.7484    0.6632
 -322.8499  974.2868 -1530.8738    0.4397   -0.5547    0.7064
 -321.4483  986.8962 -1537.1987    0.4666   -0.5582    0.6861
 -317.8601 1002.3967 -1541.9573    0.4935   -0.5641    0.6620
 -309.5995 1014.4512 -1539.5809    0.5003   -0.5512    0.6677
 -306.2923 1027.9427 -1529.7015    0.4355   -0.5686    0.6979
 -367.7161  994.8830 -1509.5967    0.7952   -0.4178    0.4395
 -361.4608 1008.9228 -1511.7236    0.8118   -0.3946    0.4304
 -357.5814 1021.6902 -1511.2817    0.8325   -0.3494    0.4299
 -358.7590 1031.4727 -1513.3228    0.8442   -0.3455    0.4099
 -354.7673 1049.1362 -1514.4543    0.8781   -0.2572    0.4036
 -382.4219 1018.1900 -1434.5813    0.8611   -0.3163    0.3981
 -377.0725 1031.5591 -1436.1635    0.8732   -0.2669    0.4077
 -374.4650 1040.7041 -1434.1624    0.8790   -0.2394    0.4123
 -374.1740 1050.0034 -1439.5437    0.8971   -0.1838    0.4017
 -378.5348 1061.5052 -1442.5029    0.8939   -0.1485    0.4229
 -393.7144 1067.3563 -1311.5563    0.6701   -0.2580    0.6960
